tidak_baku,baku
tujah,menujah
tujuh bulan,bulan
tujuh hari,hari
tukai,menukai
tukam,menukam
tular,menular
tulis,bertulis
tulung,tolong
tumbak,tombak
tumbalang,tembelang
tumpang-tindih,bertumpang-tindih
tumpes,tumpas
tumplek,tumplak
tumus,tertumus
tunang,bertunangan
tundang,bertundang
tundung,menundung
tunggang-langgang,langgang
tunggit,tunggik
tungkat,tongkat
tungkik,tukik
tungkul,menungkul
tungu,tungau
tunjal,menunjal
tunjam,menunjam
tunjul,tonjol
tuntut,menuntut
tunu,menunu
tupang,topang
tura,bertura-tura
tursi,terusi
tutu,bertutu
tutuh,menutuh
tutuk,menutuk
ubah,berubah
ubah bentuk,bentuk
ubah suai,mengubahsuaikan
ubal-ubal,ubel-ubel
ubang,mengubang
ubaya,hubaya
ubek,mengubek-ubek
ubel,ubel-ubel
uber,menguber
ubit,mengubit-ubit
ubrak-abrik,mengubrak-abrik
ucek,mengucek
ucus,usus
udap,udap-udapan
udek,mengudek
udema,edema
udo,uda
udur,uzur
udut,mengudut
ugem,mengugemi
uis,menguis-uis
uit,menguit
uja,oja
ukir,berukir
ulayah,wilayah
ulem,mengulemi
ulen,menguleni
uler,ular
ules,mengules
ulik,mengulik
umak,emak
uman,menguman
umbalang,kembalang
umban,pengumban
umbang-ambing,mengumbang-ambingkan
umbar,mengumbar
umbara,embara
umbun-umbun,ubun-ubun
umbur,umbul
umbur-umbur,umbul
umpet,mengumpet
umpil,mengumpil
umpun,rumpun
umrat,umrah
unak,onak
uncit,uncang-uncit
uncue,honcoe
uncui,honcoe
unduh,mengunduh
ungam,mengungam
ungap-ungap,mengap-mengap
unggis,mengunggis
ungguk,onggok
ungkah,mengungkah
ungkai,mengungkai
ungkang-ungkang,ongkang-ongkang
ungkang-ungkit,unggang-unggit
ungkat,mengungkat-ungkat
ungkil,mengungkil
ungkir,mungkir
ungkit,ungkit-ungkit
ungkul,ungkulan
ungkur,berungkur-ungkuran
ungsi,mengungsi
universitet,universitas
unjam,hunjam
unjun,mengunjun
unjur,belunjur
untir,menguntir
unyai,berunyai
upak,mengupak
upam,mengupam
upar,mengupar
upau,pao-pao
upuk,ufuk
urah,mengurah
urak,urakan
urik,mengurik
urit,urip
urup,mengurup
usap,mengusap
usir,mengusir
usis,ucis
ustad,ustaz
usung,berusung
utan,hutan
Utarid,bintang
utus,mengutus
uwak,uak
uyung,huyung
Valentine,hari
verba faktif,faktif
vermak,permak
verzet,verset
vestibul,vestibula
vestibulum,vestibula
vignet,vinyet
Visnu,Wisnu
vrah,prahoto
vrahoto,prahoto
vulkanisir,vulkanisasi
vulpen,pulpen
waadah,waadat
wabakdahu,wabakdu
wadar,badar
wadas,cadas
wader,badar
wahadah,wahdah
wahadaniah,wahdaniah
wahadat,wahdah
wahadiah,wahdiah
wahi,wahyu
wahon,wagon
waiduri,baiduri
waja,baja
wajit,wajik
wakwak,wawa
walak,mewalakkan
walat,kualat
walimat,walimah
walmana,walimana
waqaf,wakaf
war,uar
wara,wara-wara
warakat,warkat
wardi,rodi
wari,berwari
warik,warak
warkah,warkat
warwar,uar-uar
was,waswas
wasilat,wasilah
wasir,bawasir
waslah,wasal
wassalam,wasalam
waton,watan
wawankata,wawancara
wawansabda,wawancara
wawas,mewawas
wawas diri,diri
wedam,weda
wedar,mewedar
weker,beker
weling,welingan
welut,belut
wenang,berwenang
werak,werek
werangka,warangka
werda,wreda
werdatama,wredatama
wesi aji,aji
widara,bidara
wih,we
wilahar,welahar
wilayat,wilayah
wilmana,walimana
winter,wenter
wirama,irama
wirasat,firasat
wirausaha,wiraswasta
wiron,wiru
wirwir,uir-uir
wodka,vodka
won,Uang
wregu,palem
wulang,wulangan
wurung,urung
wutuh,utuh
xi,ksi
yargon,jargon
Yehova,Yahwe
yen,Uang
yeyunum,jejunum
yudo,judo
yudoka,judoka
yunior,junior
yuri,juri
yuyutsu,yuyitsu
zabad,jebat
zadah,haram
zahir,lahir
zarafah,jerapah
zariat,zuriah
zenggi,zanggi
ziarat,ziarah
zimi,kafir
zinah,zina
zirafah,jerapah
zohor,zuhur
Zohrat,Zohrah
zone,zona
zuadah,juadah
Zuhara,Zohrah
zurafah,jerapah
zuriat,zuriah
