tidak_baku,baku
gilas,menggilas
gili,menggili
giling,menggiling
gilir,bergilir
ginang,ginang-ginang
ginggang,genggang
gingsi,gengsi
gisar,menggisar
gisil,menggisil
gites,menggites
gitik,menggitik
giur,menggiurkan
gladi,geladi
glikosid,glikosida
gliserin,gliserol
glodok,gelodok
glondongan,gelondongan
gobah,gubah
gocek,menggocek
gocoh,bergocoh
goda,menggoda
godok,menggodok
godot,menggodot
goel,menggoel
gogo,gaga
gogoh,menggogoh
gogok,menggogok
gojlok,menggojlok
golak,bergolak
goleng,menggoleng
goler,bergoler
golpi,golbi
gombeng,menggombeng
gombrong,gombroh
goncang,guncang
gondol,menggondol
gonggong,menggonggong
gongseng,menggongseng
gonio,goniometri
gonjak,menggonjakkan
gonjok,menggonjokkan
gono-gini,gana-gini
gonrong,gondrong
gontok,bergontok
gonyak,menggonyakkan
gonyeh,menggonyeh
gonyel,menggonyel
gonyoh,menggonyoh
goreng,menggoreng
goroh,menggoroh
gorok,menggorok
gotes,menggotes
goyak,menggoyak
grafitasi,gravitasi
gregat,gereget
greget,gereget
greha,gerha
gria,griya
gubah,menggubah
gubar,gobar
gubit,menggubit
gubris,menggubris
gudam,godam
gugah,menggugah
guguh,mengguguh
guit,mengguit
gujirat,gunjing
gulir,bergulir
gulut,bergulut
gumbuk,menggumbuk
gundala,gundala-gundala
guntai,tanah
gunyam,menggunyam
gurem,guram
gurik,menggurik
gurit,menggurit
gusur,menggusur
gutik,menggutik
guyur,mengguyur
hadam,khadam
hadang,adang
halang,menghalang
halau,menghalau
halofita,halofit
hambur,berhamburan
hampar,menghampar
handal,andal
handam,andam
hangar,hanggar
hanyasanya,hanya
hapal,hafal
harafiah,harfiah
harawan,tunggang
haribaan,riba
harit,pengharit
hasut,menghasut
haula,haul
hektar,hektare
hela,menghela
helah,helat
hembus,embus
hempap,menghempap
hempas,menghempas
hendam,andam
hengit,terhengit-hengit
hentar,penghentar
herbivora,herbivor
hias,berhias
hibur,menghibur
hidang,menghidangkan
hidayat,hidayah
hidraulik,hidraulis
hidrolika,hidraulika
hidu,menghidu
hikam,hikmah
hilang-hilang,timbul
hilap,khilaf
hilau,berhilau
himbau,imbau
himpun,berhimpun
hinap,menghinap-hinap
hindar,menghindar
hingar,ingar
hipnose,hipnosis
hirau,menghiraukan
hirup,menghirup
hisap,isap
hodah,haudah
hol,haul
horak,orak
hubar,uber
hubung,berhubung
hukah,hokah
hulur,ulur
humbalang,hembalang
huni,berhuni
hunjam,menghunjam
hunjin,hujin
hunjuk,unjuk
hunus,menghunus
hutang,utang
huyung,terhuyung
ibah,hibah
ibing,mengibing
ibrit,mengibrit
ibuk,hibuk
Idulkurban,Iduladha
ihtiar,ikhtiar
ijeman,ijon
ikan gurita,gurita
ilai,mengilai
ilalang,lalang
ilar,mengilar
ilas,mengilas
ili,mengili
iling,mengiling
ilir,hilir
ilmu fisika,fisika
imak,mengimak
imang,timang
imbak,mengimbak-imbak
imbau,mengimbau
imbit,mengimbit
imkan,mengimkan
impi,mengimpikan
impit,berimpit
inap,lajak
incer,incar
incrit,mengincrit-incrit
indak,tidak
indap,berindap-indap
indera,indra
indik,mengindik
inding,menginding
indria,indra
infantri,infanteri
influensa,influenza
inga,teringa-inga
ingar,ingar-bingar
ingau,mengingau
ingsar,mengingsar
ingsut,beringsut
inkulturasi,enkulturasi
insektivora,insektivor
instalatir,instalatur
inta,anta
intai,mengintai
interen,intern
intermezo,intermeso
internir,menginternir
interpiu,interviu
interyeksi,interjeksi
intil,kintil
iprit,mengiprit
ipuk,mengipuk
irik,mengirik
iring,beriring
isap,mengisap
isolir,isolasi
istinja,beristinja
istirahat,singkat
isyu,isu
itarad,iktirad
itaraf,iktiraf
itibar,iktibar
itidal,iktidal
itikad,iktikad
itikaf,iktikaf
iur,iuran
Jabar,menjabarkan
jabat,menjabat
jabat tangan,tangan
jabel,jabal
jabir,berjabir-jabir
jadah,jadah
jahit,jelujur
jailangkung,jelangkung
jaja,berjaja
jajah,menjajah
jajak,menjajaki
jajal,menjajal
jaksi,topi
jalar,berjalaran
jalin,berjalin
jamaah,jemaah
jamah,menjamah
jaman,zaman
jambret,menjambret
jamin,menjamin
jamiyah,jamiah
jamrud,zamrud
jangkah,menjangkah
jangking,jongkang
jannah,janah
jantera,jentera
japuk,japu
jariat,jariah
jaringau,jerangau
jaru,jaharu
jasirah,jazirah
jawat,berjawat
jawil,menjawil
jazirat,jazirah
jebah,berjebah
jebai,berjebai
jebar,jebar-jebur
jebik,cebik
jeblos,menjebloskan
jebluk,menjebluk
jedot,menjedotkan
jegal,menjegal
jegil,menjegil
jejal,berjejal
jejamang,jamang
jejamu,jamu
jejawi,jawi
jeket,jaket
jela,berjela
jelabak,terjelabak
jelalat,jelalatan
jelanak,menjelanak
jelangak,menjelangak
jelantik,gelatik
jelapak,berjelapak
jelar,menjelar
jelau,menjelau
jelejeh,berjelejehan
jelempah,menjelempah
jelengar,menjelengar
jelentik,selentik
jelepok,menjelepok
jelih,menjelihkan
jelimet,menjelimet
jelimpat,menjelimpat
jeling,menjeling
jelir,menjelirkan
jelit,menjelitkan
jelma,menjelma
jelotong,jelutung
jelum,berjelum
jelungkap,menjelungkap
jeluntung,cacar
jelunut,menjelunut
jelut,menjelut
jemang,sejemang
jembak,menjembak
jemerlang,cemerlang
jempalik,jempalit
jempalit,berjempalitan
jemur,berjemur
jenayah,jinayah
jendal,jendal-jendul
jenela,jendela
jengat,jangat
jengek,menjengek
jenggar,jenggar-jenggur
jengget,jengket
jengguk,menjengguk
jenggut,menjenggut
jengit,menjengit
jengkelit,menjengkelit
jengkerik,jangkrik
